Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	124/ 80 M-1 taurine	124.0 / 80.0	2182718.28235294	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	128/ 80 M-1 d4 taurine	128.0 / 80.0	13396	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate C1-C6 M+0	191.0 / 191.0	77734807.9759999	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 191/111	191.0 / 111.0	53039705.442	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 192/111	192.0 / 111.0	700063.05	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 192/112	192.0 / 112.0	3006601.12344376	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 193/112	193.0 / 112.0	88949.9022917936	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 193/113	193.0 / 113.0	406530.5	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 194/113	194.0 / 113.0	5200.8	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 194/114	194.0 / 114.0	16963.5131932188	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 195/114	195.0 / 114.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 195/115	195.0 / 115.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	Citrate 196/115	196.0 / 115.0	N/A	True
